mechanic,usageUnit,analysisUnitOpportunityCount,matchOpportunityCount,selectionCount,usageRate,sampleSize,outcomeAssociation,ciLow,ciHigh,evidenceGrade,status,formulaHash
super,participant,200,100,9,0.045,9,0.4076054664289958,0.19015576979478802,0.6250551630632036,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
super-ace,participant,200,100,14,0.07,14,0.12358133669609084,'-0.15062034616511205,0.3977830195572937,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
swap-bar,participant,200,100,208,0.56,112,0.0516714120004218,'-0.08902102044521043,0.19236384444605403,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-ace,participant,200,100,7,0.035,7,0.07407407407407407,'-0.2993910692380695,0.44753921738621766,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-bounce-top,participant,200,100,11,0.055,11,0,'-0.31811903687210646,0.31811903687210646,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-clear-er,participant,200,100,4,0.02,4,'-0.16925734024179623,'-0.7073357309786308,0.36882105049503827,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-clear-pr,participant,200,100,5,0.025,5,'-0.10261780104712037,'-0.5378395526030287,0.332603950508788,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-jack-pr,participant,200,100,1,0.005,1,0.5025641025641026,0.4323870572618535,0.5727411478663516,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-king,participant,200,100,2,0.01,2,0,'-0.696514670425963,0.696514670425963,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-purge-aegis,participant,200,100,1,0.005,1,N/A,N/A,N/A,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-purge-anchor-bounce,participant,200,100,1,0.005,1,0.5025641025641026,0.4323870572618535,0.5727411478663516,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-queen,participant,200,100,6,0.03,6,'-0.3078534031413613,'-0.6655593288341755,0.04985252255145284,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-total-clear,participant,200,100,1,0.005,1,N/A,N/A,N/A,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-bounce-♠,participant,200,100,2,0.01,2,'-0.5051546391752577,'-0.5755095068415012,'-0.4347997715090143,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-bounce-♣,participant,200,100,2,0.01,2,0,'-0.696514670425963,0.696514670425963,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-bounce-♦,participant,200,100,1,0.005,1,0.5025641025641026,0.4323870572618535,0.5727411478663516,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-force-discard,participant,200,100,5,0.02,4,'-0.25520833333333337,'-0.6854056589704385,0.17498899230377174,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-present-take,participant,200,100,7,0.035,7,'-0.2222222222222222,'-0.5643857773768177,0.11994133293237336,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-red-counter,participant,200,100,97,0.435,87,0.10416666666666669,'-0.03646480235613067,0.24479813568946404,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
topdeck-seven-♣,participant,200,100,2,0.01,2,'-0.5051546391752577,'-0.5755095068415012,'-0.4347997715090143,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
topdeck-seven-♥,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
total-clear,participant,200,100,16,0.08,16,'-0.07692307692307693,'-0.34613233072257854,0.19228617687642469,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
two-hold,participant,200,100,9,0.045,9,0.4076054664289958,0.19015576979478802,0.6250551630632036,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
ultra,participant,200,100,209,0.755,151,'-0.013605442176870763,'-0.1752343617195647,0.14802347736582316,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
voltage,participant,200,100,42,0.04,8,0,'-0.3537709867224143,0.3537709867224143,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
wild-sovereignty,participant,200,100,2,0.01,2,'-0.5051546391752577,'-0.5755095068415012,'-0.4347997715090143,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
