mechanic,usageUnit,analysisUnitOpportunityCount,matchOpportunityCount,selectionCount,usageRate,sampleSize,outcomeAssociation,ciLow,ciHigh,evidenceGrade,status,formulaHash
four-row-clear-pr-♠,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-row-clear-pr-♥,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-row-clear-pr-♦,participant,200,100,2,0.01,2,'-0.5051020408163265,'-0.5750971102071285,'-0.43510697142552446,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
hand-swap,participant,200,100,2,0.01,2,'-0.5051020408163265,'-0.5750971102071285,'-0.43510697142552446,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
heart-tempo,participant,200,100,20,0.09,18,0.12222222222222229,'-0.11452991407388982,0.35897435851833437,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
jack,participant,200,100,133,0.45,90,'-0.030615400474177934,'-0.1705524052996338,0.10932160435127794,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
jack-pr,participant,200,100,4,0.02,4,0,'-0.49501667631020796,0.49501667631020796,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
jack-tempo,participant,200,100,2,0.01,2,0,'-0.6964784077852811,0.6964784077852811,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
king,participant,200,100,45,0.14,28,'-0.10721247563352826,'-0.30711405105108797,0.09268909978403145,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
king-anchor,participant,200,100,8,0.04,8,0,'-0.3536949804938601,0.3536949804938601,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
king-spade,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
nine,participant,200,100,14,0.06,12,'-0.04812834224598933,'-0.35098117671053036,0.2547244922185517,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
nine-anchor-discard,participant,200,100,8,0.03,6,'-0.17187500000000006,'-0.5556426502567423,0.2118926502567422,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
nine-tap,participant,200,100,60,0.215,43,'-0.1930982745686422,'-0.3557175535681072,'-0.030478995569177214,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
opponent-attack,participant,200,100,8,0.04,8,'-0.2221391174270756,'-0.5642249706844011,0.11994673583025,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
purge-aegis,participant,200,100,3,0.015,3,'-0.16923076923076924,'-0.7072617375996502,0.36880019913811174,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
purge-anchor-bounce,participant,200,100,4,0.02,4,0.2551546391752577,'-0.1749827686659713,0.6852920470164867,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
queen,participant,200,100,11,0.05,10,0,'-0.3180326923717314,0.3180326923717314,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
queen-aegis,participant,200,100,45,0.18,36,'-0.08676599474145491,'-0.2677778073096213,0.09424581782671151,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank10,participant,200,100,101,0.33,66,'-0.03435511856564483,'-0.1825458131778975,0.11383557604660785,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank10-stack-theft,participant,200,100,10,0.045,9,0.1746031746031746,'-0.14151523607492528,0.49072158528127446,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank3-discard,participant,200,100,7,0.025,5,'-0.10259067357512952,'-0.5377525661331266,0.3325712189828675,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank3-present,participant,200,100,5,0.02,4,0.16923076923076918,'-0.3688001991381118,0.7072617375996502,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
